trial,score
fid_373/0111_01.jpg fid_423/0170_01.jpg,0
fid_263/0070_01.jpg fid_383/0157_01.jpg,0
fid_161/0084_01.jpg fid_20/0076_01.jpg,0
fid_105/0201_01.jpg fid_150/0157_04.jpg,0
fid_143/0612_01.jpg fid_228/0065_01.jpg,0
fid_230/0361_02.jpg fid_127/0228_01.jpg,0
fid_354/0164_01.jpg fid_3/0086_01.jpg,0
fid_297/0162_02.jpg fid_195/0381_02.jpg,0
fid_108/0177_01.jpg fid_310/0360_02.jpg,0
fid_408/0544_01.jpg fid_350/0067_01.jpg,0
fid_424/0045_01.jpg fid_294/0380_02.jpg,0
fid_378/0095_01.jpg fid_395/0421_01.jpg,0
fid_343/0517_01.jpg fid_142/0441_01.jpg,0
fid_153/0152_01.jpg fid_128/0144_03.jpg,0
fid_240/0282_01.jpg fid_447/0147_01.jpg,0
fid_100/0085_01.jpg fid_151/0336_01.jpg,0
fid_205/0156_01.jpg fid_117/0076_01.jpg,0
fid_281/0106_01.jpg fid_321/0246_01.jpg,0
fid_405/0138_01.jpg fid_339/0141_01.jpg,0
fid_200/0060_01.jpg fid_190/0351_02.jpg,0
fid_120/0299_01.jpg fid_70/0035_01.jpg,0
fid_403/0286_01.jpg fid_155/0228_01.jpg,0
fid_107/0403_01.jpg fid_396/0292_01.jpg,0
fid_394/0339_01.jpg fid_333/0105_01.jpg,0
fid_487/0024_01.jpg fid_184/0101_01.jpg,0
fid_234/0491_01.jpg fid_223/0078_01.jpg,0
fid_115/0316_01.jpg fid_137/0312_02.jpg,0
fid_391/0237_03.jpg fid_300/0336_02.jpg,0
fid_462/0053_02.jpg fid_485/0328_01.jpg,0
fid_202/0151_01.jpg fid_344/0128_02.jpg,0
fid_152/0129_01.jpg fid_453/0419_01.jpg,0
fid_229/0196_01.jpg fid_227/0159_01.jpg,0
fid_449/0054_03.jpg fid_207/0088_02.jpg,0
fid_372/0188_01.jpg fid_209/0012_01.jpg,0
fid_120/0138_01.jpg fid_401/0102_01.jpg,0
fid_59/0118_02.jpg fid_82/0120_02.jpg,0
fid_382/0094_01.jpg fid_53/0014_01.jpg,0
fid_40/0274_01.jpg fid_189/0141_01.jpg,0
fid_196/0544_02.jpg fid_313/0244_01.jpg,0
fid_11/0239_01.jpg fid_178/0087_01.jpg,0
fid_126/0236_01.jpg fid_392/0078_02.jpg,0
fid_439/0324_01.jpg fid_17/0006_01.jpg,0
fid_28/0188_05.jpg fid_467/0452_01.jpg,0
fid_133/0077_01.jpg fid_218/0313_02.jpg,0
fid_92/0075_01.jpg fid_164/0307_01.jpg,0
fid_88/0122_01.jpg fid_483/0033_02.jpg,0
fid_179/0070_01.jpg fid_167/0329_01.jpg,0
fid_7/0082_01.jpg fid_256/0234_01.jpg,0
fid_26/0305_03.jpg fid_396/0235_01.jpg,0
fid_440/0070_01.jpg fid_479/0007_01.jpg,0
fid_259/0140_01.jpg fid_135/0105_01.jpg,0
fid_60/0080_01.jpg fid_224/0098_01.jpg,0
fid_258/0207_01.jpg fid_10/0069_01.jpg,0
fid_416/0027_01.jpg fid_94/0150_05.jpg,0
fid_320/0100_01.jpg fid_443/0085_02.jpg,0
fid_80/0244_01.jpg fid_140/0210_01.jpg,0
fid_147/0089_01.jpg fid_219/0240_01.jpg,0
